"","SEX","POPULATION","longitude","longitude2","latitude","GOL","NOL","BNL","BBH","XCB","XFB","ZYB","AUB","WCB","ASB","BPL","NPH","NLH","JUB","NLB","MAB","MDH","MDB","OBH","OBB","DKB","NDS","WNB","SIS","ZMB","SSS","FMB","NAS","EKB","DKS","IML","XML","MLS","WMH","SOS","BLS","STB","FRC","FRS","FRF","PAC","PAS","PAF","OCC","OCS","OCF","FOL","cosine.latitude"
"23","M","EGYPT",30,30,30,185.620689655172,183.568965517241,101.5,133.741379310345,139.224137931034,115.465517241379,128.827586206897,118.620689655172,68.6379310344828,107.551724137931,96.5172413793103,68.4310344827586,51.7413793103448,111.879310344828,24.8275862068966,62.8103448275862,30.1896551724138,13.1206896551724,32.948275862069,39.5,20.8620689655172,11.8620689655172,9.93103448275862,4.67241379310345,93.8275862068966,24.2586206896552,96.051724137931,18.7586206896552,95.8103448275862,11.5689655172414,35.448275862069,52.0344827586207,10.8448275862069,22.5344827586207,6,3.03448275862069,112.896551724138,111.913793103448,25.5862068965517,51.7068965517241,115.724137931034,25.5689655172414,63.7413793103448,97.4827586206897,26.9655172413793,46.1724137931034,35.6724137931034,0.866025403784439
"24","F","ESKIMO",-30,330,70,180.945454545455,178.563636363636,100.254545454545,132.854545454545,130.981818181818,108.763636363636,130.2,120.490909090909,70.9272727272727,105.527272727273,99.4727272727273,67.1090909090909,50.4363636363636,113.2,23.3272727272727,61.8545454545455,23.0181818181818,11.5454545454545,35.1090909090909,40.4727272727273,17.2727272727273,8.41818181818182,5.61818181818182,1.84909090909091,92.7636363636364,19.0909090909091,94.9818181818182,14.3272727272727,96.5272727272727,8.14545454545454,38.1090909090909,53.5454545454545,11.6727272727273,24.0363636363636,4.43636363636364,2.23636363636364,100.836363636364,109.618181818182,26.6545454545455,50.7090909090909,111.581818181818,23.6727272727273,56.4545454545455,96.0545454545454,27.7636363636364,48.3090909090909,37.6181818181818,0.342020143325669
"25","M","ESKIMO",-30,330,70,188.301886792453,184.471698113208,106.490566037736,139.056603773585,134.037735849057,112.22641509434,139.735849056604,126.396226415094,74.1698113207547,109.660377358491,103.056603773585,71.7358490566038,54.1320754716981,121.150943396226,23.6792452830189,65.9433962264151,27.5660377358491,13.5660377358491,36.2264150943396,41.9811320754717,18.5849056603774,9.50943396226415,6.05660377358491,2.56603773584906,99.8301886792453,20.4150943396226,98.9811320754717,14.8301886792453,100.377358490566,8.86792452830189,41.5660377358491,59.3396226415094,12.7924528301887,25.8679245283019,5.69811320754717,3.30188679245283,101.943396226415,112.792452830189,26.4339622641509,53.1320754716981,114.905660377358,23.9622641509434,57.7547169811321,98.2264150943396,29.4905660377358,50.9433962264151,38.3962264150943,0.342020143325669
"26","F","GUAM",145,145,15,175.259259259259,173.703703703704,100.037037037037,136.888888888889,136.37037037037,112.037037037037,132.037037037037,122.62962962963,71.7407407407407,105.333333333333,96.4444444444444,66.5925925925926,51.037037037037,117.592592592593,26.5185185185185,63.7777777777778,27.0740740740741,11.6296296296296,34.7407407407407,39.7407407407407,21.037037037037,8.22222222222222,7.66666666666667,2.2962962962963,96.6666666666667,21,96.9259259259259,15.5185185185185,97.8148148148148,9.51851851851852,36.2962962962963,54.6666666666667,12.2592592592593,24.5925925925926,5.48148148148148,2.51851851851852,110.592592592593,110.592592592593,27.1851851851852,48.3703703703704,109.518518518519,23.8148148148148,58.5185185185185,96.9259259259259,26.7407407407407,47.3703703703704,34.962962962963,0.965925826289068
"27","M","GUAM",145,145,15,185.6,182.633333333333,104.966666666667,143.733333333333,140.8,115.3,142.533333333333,130.333333333333,73.9333333333333,110.066666666667,101.5,69.9333333333333,54.3333333333333,124.633333333333,27.7666666666667,67.4333333333333,30.9333333333333,13.4666666666667,35.5,41.4333333333333,21.8333333333333,9.63333333333333,8.13333333333333,2.63333333333333,102.633333333333,22.9,101.233333333333,17.2,101.166666666667,9.9,40.2666666666667,59.5,12.8666666666667,25.5333333333333,6.96666666666667,3.76666666666667,112.4,116.4,27.2333333333333,51.9666666666667,114.833333333333,25.2333333333333,61.1333333333333,100.2,28.5333333333333,48.2333333333333,36.6666666666667,0.965925826289068
"28","F","HAINAN",120,120,30,170.631578947368,169.394736842105,94.7368421052632,132.131578947368,134.973684210526,111.842105263158,125.552631578947,117.447368421053,71.3421052631579,101.631578947368,93.4210526315789,65.3947368421053,49.3157894736842,112.447368421053,26.0263157894737,62.3421052631579,25.2368421052632,10.6052631578947,32.8421052631579,37.6052631578947,20.9473684210526,7.86842105263158,7.57894736842105,2.18421052631579,95.3421052631579,21.3421052631579,92.8421052631579,14.2894736842105,94.0789473684211,8.81578947368421,33.6842105263158,51.2631578947368,11.7631578947368,24.5526315789474,5.21052631578947,2.15789473684211,109.947368421053,108.263157894737,25.2631578947368,47.1052631578947,109,24.2368421052632,59.3157894736842,94.7105263157895,25.2368421052632,46.7105263157895,34.6842105263158,0.866025403784439
"29","M","HAINAN",120,120,30,176.377777777778,174.355555555556,99.4666666666667,136.711111111111,138.444444444444,114.733333333333,133.955555555556,123.622222222222,73.8666666666667,105.955555555556,96.5555555555556,69.6888888888889,52.3555555555556,118.888888888889,27.3111111111111,64.8,29.4888888888889,12.8888888888889,33.6,38.6666666666667,22.1555555555556,8.44444444444444,8.17777777777778,2.91111111111111,98.2,22.4,97.1333333333333,15.4444444444444,97.8888888888889,9.24444444444444,35.8,54.7111111111111,12.2444444444444,24.9111111111111,6.31111111111111,3.04444444444444,110.888888888889,109.444444444444,24.4666666666667,48.3777777777778,111.977777777778,25.1555555555556,60.5333333333333,96.0222222222222,26.3333333333333,45.9555555555556,36.7555555555556,0.866025403784439
"30","F","MOKAPU",-160,200,20,175.387755102041,173.775510204082,101.448979591837,136.571428571429,138.673469387755,111.979591836735,126.877551020408,119.020408163265,68.469387755102,102.65306122449,100.204081632653,63.7551020408163,49.3877551020408,112.673469387755,26.0204081632653,61.734693877551,25.5510204081633,12.3265306122449,34.1224489795918,39.4285714285714,19.9387755102041,8.20408163265306,7.38775510204082,2.3469387755102,92.6530612244898,23.2244897959184,95.1632653061225,14.8367346938776,95.7959183673469,9.08163265306122,36.0612244897959,51.6938775510204,11.3061224489796,23.469387755102,4.75510204081633,2.89795918367347,109.591836734694,111.285714285714,24.4285714285714,46.3265306122449,105.612244897959,22.4489795918367,51.9795918367347,99.9183673469388,25.2244897959184,51.4897959183673,34.265306122449,0.939692620785908
"31","M","MOKAPU",-160,200,20,186.313725490196,183.294117647059,107,144.039215686275,143.725490196078,117.21568627451,138.823529411765,128.098039215686,72.7647058823529,108.960784313725,104.352941176471,68.6078431372549,53.3137254901961,120.764705882353,27.3921568627451,65.7843137254902,30.921568627451,15.3921568627451,35.0588235294118,40.6862745098039,21.6470588235294,9.58823529411765,7.43137254901961,2.94117647058824,99.078431372549,24.9019607843137,100.372549019608,16.1176470588235,100.117647058824,9.54901960784314,39.2156862745098,55.2156862745098,11.921568627451,25.4313725490196,6.27450980392157,4.72549019607843,115.098039215686,117.705882352941,24.7647058823529,51.4509803921569,112.686274509804,24.8823529411765,53.9019607843137,102.450980392157,26.5490196078431,53.6862745098039,36.5294117647059,0.939692620785908
"32","F","MORIORI",-175,185,-45,178.137254901961,176.549019607843,101.294117647059,131.627450980392,137.666666666667,109.980392156863,130.843137254902,122.607843137255,67.4313725490196,104.882352941176,98.7058823529412,68.4705882352941,52.6078431372549,115.941176470588,25.6078431372549,62.4117647058824,27.1372549019608,12.1764705882353,35.7843137254902,40.2549019607843,20.078431372549,9.31372549019608,7.37254901960784,3.01960784313725,92.9019607843137,26.0392156862745,95.8235294117647,16.5686274509804,96.843137254902,10.9607843137255,35.843137254902,52.7254901960784,10.4509803921569,23.078431372549,4.84313725490196,3.7843137254902,104.862745098039,108.078431372549,22.4509803921569,47.078431372549,106.450980392157,22.6078431372549,53.6078431372549,98.3725490196078,26.0980392156863,45.1960784313725,34.9411764705882,0.707106781186548
